"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"OBZidgVq4PqAy3yNA3qE1GGNLUP6AdkWcNz9ZbGno0=","OBZidgVq4PqAy3yNA3qE1GGNLUP6AdkWcNz9ZbGno0=","OBZidgVq4PqAy3yNA3qE1GGNLUP6AdkWcNz9ZbGno0=","","Soci de l'ANC i del Barça. Porto Catalunya al cor. Despertem la República! Tinc familia a Sant Esteve de les Roures #FemXarxa","","54","131","2018-12-11","en"
"4Ck6S8eSd55rGXNRjXfkqakNf4QGqd8Fv9QmkzxugU=","4Ck6S8eSd55rGXNRjXfkqakNf4QGqd8Fv9QmkzxugU=","4Ck6S8eSd55rGXNRjXfkqakNf4QGqd8Fv9QmkzxugU=","","","","31","132","2018-12-11","en"
"e2S9BXXqlbzTdgMLFzzo06y99guGXuW9Q+Q9ugFQScg=","e2S9BXXqlbzTdgMLFzzo06y99guGXuW9Q+Q9ugFQScg=","e2S9BXXqlbzTdgMLFzzo06y99guGXuW9Q+Q9ugFQScg=","Barcelona, Spain","","","0","0","2018-12-12","en"
"WKi6QjJMYgQ1xFY0UjW3kPIsZzhqijJCL+YEykCRe0=","WKi6QjJMYgQ1xFY0UjW3kPIsZzhqijJCL+YEykCRe0=","WKi6QjJMYgQ1xFY0UjW3kPIsZzhqijJCL+YEykCRe0=","","","","0","0","2018-12-12","en"
"z9HMrQJUmXQ9zi2wbHWu5F80wLzIhF0mXzosiV4+Wyc=","z9HMrQJUmXQ9zi2wbHWu5F80wLzIhF0mXzosiV4+Wyc=","z9HMrQJUmXQ9zi2wbHWu5F80wLzIhF0mXzosiV4+Wyc=","","","","7","72","2018-12-12","en"
"dcHf+miv5AHVVX+HnPydKCcnZtz+TDqGflQJguTKy8Y=","dcHf+miv5AHVVX+HnPydKCcnZtz+TDqGflQJguTKy8Y=","dcHf+miv5AHVVX+HnPydKCcnZtz+TDqGflQJguTKy8Y=","","","","9","42","2018-12-11","en"
"R++Q6XPQyClA9E3Rx8EU9lsPr83h+QgFCgYFyCsTTo=","R++Q6XPQyClA9E3Rx8EU9lsPr83h+QgFCgYFyCsTTo=","R++Q6XPQyClA9E3Rx8EU9lsPr83h+QgFCgYFyCsTTo=","Girona, Catalunya","","","1","0","2018-12-11","en"
"PU2wqnANI5yVpnwhdNC7NXIWtmAK2wMz9UYU1S9hE=","PU2wqnANI5yVpnwhdNC7NXIWtmAK2wMz9UYU1S9hE=","PU2wqnANI5yVpnwhdNC7NXIWtmAK2wMz9UYU1S9hE=","Barcelona, España","Para nosotros todo, para nosotros nada","","240","1077","2016-10-25","es"
"FEGi75oEIp3dtTYgFgA4RqD848WkNuDGEUMY+QKtWM=","FEGi75oEIp3dtTYgFgA4RqD848WkNuDGEUMY+QKtWM=","FEGi75oEIp3dtTYgFgA4RqD848WkNuDGEUMY+QKtWM=","","","","0","0","2018-12-12","en"
"TJqkhdNAE1foBuiPILYdC0UqJR30hjitt7ofkBZOQ=","TJqkhdNAE1foBuiPILYdC0UqJR30hjitt7ofkBZOQ=","TJqkhdNAE1foBuiPILYdC0UqJR30hjitt7ofkBZOQ=","","","","33","104","2018-12-03","en"
