word,occurence
RT,6132.0
@ratafia:,4.0
Hola,53.0
@joanpuig,5.0
es,811.0
pot,195.0
saber,39.0
ja,289.0
qui,202.0
és,1346.0
"""mossèn",4.0
"genuflexe""?",4.0
És,221.0
per,2113.0
un,1499.0
amic,12.0
molt,232.0
unitari,6.0
....,4.0
https://t.co/jGxtCbPOwd,4.0
@jcuixart:,2.0
Entrevista,9.0
para,96.0
el,3317.0
programa,24.0
@DebatAlRojoVivo,1.0
de,7223.0
@laSextaTV,11.0
"▹

""Los",1.0
derechos,7.0
y,253.0
libertades,1.0
los,167.0
españoles,4.0
durante,4.0
las,85.0
próxima…,1.0
@Esquerra_ERC:,420.0
📢Demà,2.0
a,4956.0
les,1332.0
10h,2.0
coneixerem,1.0
la,5276.0
data,14.0
i,3551.0
pregunta,27.0
del,1600.0
#referèndum📩.,1.0
Decidim,1.0
nostre,51.0
futur,57.0
urnes!,1.0
https://t.co/ZwZx…,1.0
🎥,117.0
@evabaror,8.0
critica,9.0
que,4819.0
C’s,4.0
faci,22.0
discursos,3.0
defensant,14.0
igualtat,6.0
gènere,2.0
els,1232.0
drets,64.0
LGTBI,3.0
alhora,2.0
plantegi,2.0
pactar…,1.0
▶[VÍDEO],9.0
@wagensberg:,16.0
"""No",47.0
podem,38.0
parar,8.0
recordar,36.0
una,1115.0
campanya,54.0
totalment,9.0
atípica,1.0
perquè,274.0
no,2064.0
tenim,96.0
nostres,29.0
candi…,3.0
@ARAsocietat:,3.0
PRIMÍCIA:,3.0
ERC,293.0
votarà,12.0
'no',4.0
al,1196.0
tramvia,65.0
Colau,280.0
https://t.co/M8agcm3VRQ,3.0
@lesoir:,2.0
«C'était,2.0
véritablement,2.0
coup,2.0
d'Etat»:,2.0
#CarlesPuigdemont,2.0
livre,2.0
ses,2.0
pensées,2.0
sur,2.0
crise,2.0
catalane,2.0
pour,2.0
@lesoir,3.0
,251.0
"
https://t.co/…",2.0
@JnnDiaz:,5.0
Inés,2.0
Arrimadas:,3.0
mi,59.0
padre,2.0
"albañil,",1.0
madre,1.0
ha,943.0
limpiado,1.0
casas,1.0
trabajado,1.0
en,1414.0
bar,4.0
polígono,1.0
como,35.0
cocinera.,1.0
"Hoy,",1.0
soy,9.0
escr…,1.0
@emparmoliner:,4.0
L'objectiu,2.0
curt,2.0
termini,4.0
@rogertorrent,82.0
vagi,9.0
presó,97.0
o,282.0
l'inhabilitin?,2.0
Em,45.0
sembla,63.0
ens,286.0
cal,125.0
més,627.0
gent,176.0
l…,39.0
@jordisolef:,27.0
Hablamos,7.0
Derechos,7.0
Humanos?,7.0
Pues,12.0
hablemos,8.0
Oriol,50.0
@junqueras,105.0
",",35.0
persona,47.0
lleva,8.0
403,7.0
días,9.0
prisión,15.0
preventiva,12.0
por…,7.0
@XavierAntich:,7.0
"""Ja",5.0
van,210.0
advertir,5.0
hi,338.0
hauria,70.0
rifaria,4.0
nostra,43.0
vaga,70.0
fam.,5.0
N'érem,4.0
conscients.,4.0
aquell,13.0
perfil,27.0
p…,47.0
Cada,33.0
dia,173.0
"passa,",4.0
intolerable,3.0
il·legalitat,6.0
l’Audiencia,5.0
Nacional,49.0
(in)justícia,4.0
espanyola,56.0
amb,1101.0
@TamaraVila83…,3.0
@JaumeICastigaor:,1.0
Que,164.0
diu,170.0
Público,1.0
País,11.0
Valencià,6.0
Illes,4.0
Balears,2.0
són,157.0
Múrcia,1.0
tots,150.0
tenen,68.0
alguna,42.0
cosa,61.0
nació,3.0
menys,94.0
nosalt…,1.0
👉,12.0
Vine,13.0
aquesta,135.0
tarda,19.0
presentació,12.0
Consell,54.0
"República!

🙌",3.0
Seguirem,13.0
intervencions,3.0
President,55.0
"Puigdemont,",23.0
"Torra,",5.0
vicepresident,8.0
Aragonès,7.0
Conseller,9.0
"Comín.

📍Plaça",2.0
Sant,65.0
"Jaume,",8.0
19h.,2.0
https://t.co/LD03ntFNv4,1.0
@lluitadorcat:,5.0
Rajoy,64.0
dóna,12.0
gràcies,42.0
Guàrdia,22.0
Civil,23.0
''garantir'',1.0
''drets,1.0
llibertats'',1.0
Catalunya,160.0
!,26.0
directe!cat,12.0
https://t…,43.0
@BernatGimeno:,21.0
#Barcelona,17.0
necessita,42.0
canvi,50.0
"veritat,",5.0
govern,393.0
tingui,13.0
por,153.0
d’exercir,2.0
capital,41.0
país.,22.0
https://t.co/hnx…,1.0
.@AlfredBosch,49.0
candidat,78.0
millor,113.0
valorat,13.0
Barcelona,406.0
segons,35.0
l’enquesta,6.0
@elperiodico.,2.0
Un,166.0
45%,1.0
conei…,1.0
‼️,102.0
Segons,20.0
sondeig,8.0
anual,4.0
"l'@InstitutICPS,",3.0
54'7%,3.0
votaria,20.0
referèndum,118.0
d'independència,12.0
S…,6.0
@FreeJunqueras:,6.0
Avui,197.0
fa,330.0
300,13.0
dies,79.0
l'Oriol,24.0
@quimforn,23.0
presó.,22.0
d'injustícia.,2.0
lluny,15.0
